date,sourceType,xeroId,contact,description,accountCode,accountName,accountType,accountClass,lineAmount,taxType
2026-05-27,ACCPAY bill,010f412f-8d97-4ced-be49-4aff846b3914,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,74.24,INPUT2
2025-12-08,ACCPAY bill,01a4c05b-952f-4129-b5bb-0fdb1fe0b726,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,37.3,INPUT2
2026-01-16,ACCPAY bill,030763f5-39ec-42e8-8bc0-a27dfd26cc2c,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,152,INPUT2
2025-11-21,ACCPAY bill,03b763e3-a0c9-4ee6-a3c4-db7cde235f2a,Napa Auto Parts,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,325,INPUT2
2026-06-01,ACCPAY bill,0414a3bc-9199-4b2f-ad87-3d37d72e0065,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,235.84,INPUT2
2026-06-01,ACCPAY bill,05f8706a-2906-4f5a-bec6-8c902191b676,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,163.14,INPUT2
2026-05-29,ACCPAY bill,06372112-81b2-4025-8dd0-310ad6f2ec34,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,40.18,INPUT2
2026-06-25,ACCPAY bill,069714d6-750e-4e6a-ba65-b5f722620f9c,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,23.88,INPUT2
2026-05-19,ACCPAY bill,06f9700c-09fe-4139-a708-84cf93352528,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,124.2,INPUT2
2026-05-19,ACCPAY bill,06f9700c-09fe-4139-a708-84cf93352528,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-05-20,ACCPAY bill,07e02f82-0fba-42c7-b3c4-1a0a58d66f36,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,2.5,INPUT2
2026-06-24,ACCPAY bill,08211bf3-47c5-4c71-bdd5-24dee3080baf,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,81.74,INPUT2
2026-06-19,ACCPAY bill,096e2706-5b3e-4625-9f55-4c519e48fb76,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,157.4,INPUT2
2026-06-19,ACCPAY bill,096e2706-5b3e-4625-9f55-4c519e48fb76,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-05-22,ACCPAY bill,0b6c504f-03d9-4876-862e-8cfc8cb394b5,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,11.05,INPUT2
2026-05-22,ACCPAY bill,0b6c504f-03d9-4876-862e-8cfc8cb394b5,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-25,ACCPAY bill,0c360a5a-630b-4e81-a85b-1e8fbabe2b8b,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,90.5,INPUT2
2026-05-29,ACCPAY bill,0cb494e2-874b-4729-98d8-f3fda6f3f41a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,11.9,INPUT2
2026-05-28,ACCPAY bill,0d8c6e69-a167-4d36-9398-3d387c56dac6,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,10.5,INPUT2
2026-06-12,ACCPAY bill,10a01349-bd59-406d-87e3-1f6694b9b4f2,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,3.75,INPUT2
2026-06-12,ACCPAY bill,10a01349-bd59-406d-87e3-1f6694b9b4f2,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.02,ZERORATEDINPUT
2026-06-03,ACCPAY bill,10bb4ea6-b2c8-4d95-8a3d-c1af670e76c0,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,66.95,INPUT2
2026-06-03,ACCPAY bill,10bb4ea6-b2c8-4d95-8a3d-c1af670e76c0,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2026-06-10,ACCPAY bill,11b0d520-0634-434e-ac40-41217c69b664,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,44.99,INPUT2
2025-12-31,ACCPAY bill,1461cea9-1623-44a4-af93-fbf583cb5db1,Ian W Bentley Bulk Transport Ltd,---,469,Rent & Rates,OVERHEADS,EXPENSE,2708.33,INPUT2
2026-03-17,ACCPAY bill,148dc9d9-f38a-4bbe-9da1-d9ffa7342671,AZ Motor Spares,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,21.08,INPUT2
2026-02-25,ACCPAY bill,14ecbbd1-db6b-4116-8f56-d7ceab1b3bb8,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,50.4,INPUT2
2026-05-19,ACCPAY bill,1514f9e1-e32a-49e8-a849-2370767f4e6a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,4.1,INPUT2
2026-05-19,ACCPAY bill,1514f9e1-e32a-49e8-a849-2370767f4e6a,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,0.01,ZERORATEDINPUT
2025-11-20,ACCPAY bill,16a7061e-c41c-4ebc-974e-fe472aff6fa6,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,165.8,INPUT2
2026-05-27,ACCPAY bill,1737f7df-aec3-45fb-ab47-4cf423eb26f0,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,8.84,INPUT2
2026-05-29,ACCPAY bill,179a2813-4484-40fb-bcb0-fadba6826bf1,BANOZE TYRES WHOLESALE,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,68.2,INPUT2
2025-11-18,ACCPAY bill,17ac9fbb-8c2f-4b15-9efe-1e92473dc60f,BANOZE TYRES WHOLESALE,.,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,20.95,INPUT2
2026-05-20,ACCPAY bill,17b7b3a5-cc06-4062-9919-14e3eb9465cc,Napa Auto Parts,---,310,Cost of Goods Sold,DIRECTCOSTS,EXPENSE,120.34,INPUT2
