contactId,contactName,sourceType,xeroId,docNumber,date,status,description,accountCode,taxTypeUsed,expectedTaxType,lineAmount,taxAmount,netValue,lineAmountTypes,subTotal,total,currencyCode,currencyRate,currentContribution
510df433-7e5f-401b-9ea4-0f969074b0cb,Amazon,bill,077bbd63-0c1b-4790-af19-aaf8d09bbd71,GB613V12PAEUD,2026-01-31,PAID,.,325,INPUT2,ZERORATEDINPUT,10.6,2.12,8.48,Exclusive,10.61,12.73,GBP,1,10.60
9115cc70-ed25-4f3c-ac42-d444a565f590,More Than Accountants,bill,09668f25-356e-4fd7-a300-8c68a895faca,INV-73322,2026-04-01,PAID,.,401,INPUT2,ZERORATEDINPUT,149,29.8,119.20,Exclusive,149,178.8,GBP,1,149.00
9115cc70-ed25-4f3c-ac42-d444a565f590,More Than Accountants,bill,10f77c10-364d-4dc9-9c59-edca43ea6673,INV-68632,2026-01-01,PAID,.,401,INPUT2,ZERORATEDINPUT,149,29.8,119.20,Exclusive,149,178.8,GBP,1,149.00
510df433-7e5f-401b-9ea4-0f969074b0cb,Amazon,bill,17abfbe4-4f49-4b5c-b14e-47a160ae3762,GB60005X4LKONI,2026-04-23,PAID,.,430,INPUT2,ZERORATEDINPUT,10.45,1.74,8.71,Inclusive,8.71,10.45,GBP,1,10.45
510df433-7e5f-401b-9ea4-0f969074b0cb,Amazon,bill,1b158f06-4fa4-4463-bae9-1f91dea5e50a,GB63CFD90AEUI,2026-04-21,PAID,.,325,INPUT2,ZERORATEDINPUT,5.95,0.99,4.96,Inclusive,4.96,5.95,GBP,1,5.95
510df433-7e5f-401b-9ea4-0f969074b0cb,Amazon,bill,1f2c2c1d-1888-4d74-ab51-4af6406117ce,GBSTG8XNAEUI,2026-01-29,PAID,.,325,INPUT2,ZERORATEDINPUT,15.48,2.58,12.90,Inclusive,12.9,15.48,GBP,1,15.48
510df433-7e5f-401b-9ea4-0f969074b0cb,Amazon,bill,2223c190-7472-4453-a645-d9bae5759e82,GB62PHUCUAEUR,2026-03-31,PAID,.,325,INPUT2,ZERORATEDINPUT,10.4,2.08,8.32,Exclusive,10.42,12.5,GBP,1,10.40
9115cc70-ed25-4f3c-ac42-d444a565f590,More Than Accountants,bill,25db43bc-cf54-4af8-b98f-0aff3b55ec22,INV-71728,2026-03-01,PAID,.,401,INPUT2,ZERORATEDINPUT,149,29.8,119.20,Exclusive,149,178.8,GBP,1,149.00
9115cc70-ed25-4f3c-ac42-d444a565f590,More Than Accountants,bill,2e251241-9db5-422d-86e2-b316e7e99da7,INV-67078,2025-12-01,PAID,.,401,INPUT2,ZERORATEDINPUT,149,29.8,119.20,Exclusive,149,178.8,GBP,1,149.00
87132a61-0be1-4473-9af4-f796e132f55b,Edf Energy,bill,3cb8eaf3-6326-4e96-8f68-622c62b9fc62,101613090,2026-06-17,AUTHORISED,.,445,INPUT2,RRINPUT,17.7,3.54,14.16,Exclusive,23.31,27.13,GBP,1,17.70
510df433-7e5f-401b-9ea4-0f969074b0cb,Amazon,bill,43309137-6ee5-467a-9915-bfb2b2f06c1c,026-9482392-8461948,2025-12-12,PAID,.,430,INPUT2,ZERORATEDINPUT,8.54,1.42,7.12,Inclusive,7.12,8.54,GBP,1,8.54
792e862c-9628-4f96-b1db-7ef7410c2122,Plumbfix,bill,56fa7c97-362b-4588-a722-1e870ca40ebf,AR271757186,2026-02-05,PAID,.,325,INPUT2,ZERORATEDINPUT,9.57,1.92,7.65,Exclusive,9.57,11.49,GBP,1,9.57
510df433-7e5f-401b-9ea4-0f969074b0cb,Amazon,bill,5d8fe568-305a-474a-ac76-cf980f96c139,GB600AT23XXXXZI,2026-03-14,PAID,.,325,INPUT2,ZERORATEDINPUT,15.95,2.66,13.29,Inclusive,13.29,15.95,GBP,1,15.95
