sourceType,xeroId,docNumber,date,contactId,contact,description,accountCode,accountName,accountType,accountClass,lineAmount,taxAmount,netValue,subTotal,total,currencyCode,currencyRate,currentContribution
SPEND bank txn,1eef7004-c241-41bb-8003-f53a9f1ce9d2,,2020-07-13,095dc262-fa07-4d2b-8503-96789efb566e,TESCO,DIESEL,760,Motor Vehicles,FIXED,ASSET,83.45,13.91,69.54,69.54,83.45,GBP,1,83.45
SPEND bank txn,28288274-1912-497f-a00c-4436aac04573,,2023-08-15,786fe97a-35a1-4e17-8a6c-c8bcf9e4c104,TAG LANE,FUEL,760,Motor Vehicles,FIXED,ASSET,16.99,2.83,14.16,14.16,16.99,GBP,1,16.99
SPEND bank txn,3f32fe77-b8fc-4cb9-8146-37d3b7a4ded5,,2024-07-19,ee658e48-76ee-4a57-a1f7-cf3666c666cf,EK MOTOR FACTORS,van parts,760,Motor Vehicles,FIXED,ASSET,20.21,3.37,16.84,16.84,20.21,GBP,1,20.21
SPEND bank txn,638f2356-0f1d-4336-b2d1-5aa1b829be94,,2024-07-29,095dc262-fa07-4d2b-8503-96789efb566e,TESCO,OIL,760,Motor Vehicles,FIXED,ASSET,14.87,2.48,12.39,12.39,14.87,GBP,1,14.87
SPEND bank txn,64c9d237-9f42-45e5-89f5-67abda81961c,,2024-01-02,b4690b30-2913-45b6-a6cf-f55386822784,CO-OP,FUEL,760,Motor Vehicles,FIXED,ASSET,43.14,7.19,35.95,35.95,43.14,GBP,1,43.14
SPEND bank txn,8d37b462-76ad-4316-9208-f9a07200d89f,,2020-06-19,2eee05b6-0317-49e3-9889-f904025fce80,FUEL CARD,PETROL,760,Motor Vehicles,FIXED,ASSET,12.32,2.05,10.27,10.27,12.32,GBP,1,12.32
SPEND bank txn,9f0793f3-da2f-45a0-b7b8-ec383bd29824,,2023-12-27,d50224f5-3d68-403e-8143-9f67a3ad15d3,VMS ROADCHEF,screen wash,760,Motor Vehicles,FIXED,ASSET,8.98,1.5,7.48,7.48,8.98,GBP,1,8.98
SPEND bank txn,a46df693-670c-4a60-8951-d62e1356b698,,2024-11-11,28cfb97a-aadc-4b2e-987c-3c2c15474920,truckhaven,fuel,760,Motor Vehicles,FIXED,ASSET,53.16,8.86,44.30,44.3,53.16,GBP,1,53.16
SPEND bank txn,af92a63b-32ef-4a79-b57c-a7b2966b680e,,2023-12-27,28cfb97a-aadc-4b2e-987c-3c2c15474920,truckhaven,fuel,760,Motor Vehicles,FIXED,ASSET,61.82,10.3,51.52,51.52,61.82,GBP,1,61.82
SPEND bank txn,b9d8cd58-a6b3-44d8-a792-ab6cc2ca08dc,,2024-09-23,095dc262-fa07-4d2b-8503-96789efb566e,TESCO,OIL,760,Motor Vehicles,FIXED,ASSET,20,3.33,16.67,16.67,20,GBP,1,20.00
SPEND bank txn,cb02e899-7578-4bc4-b1ae-06ab9a4af83f,,2024-08-05,28cfb97a-aadc-4b2e-987c-3c2c15474920,truckhaven,fuel,760,Motor Vehicles,FIXED,ASSET,100.07,16.68,83.39,83.39,100.07,GBP,1,100.07
SPEND bank txn,ccf08398-b412-4d38-9b5b-501b7acad140,,2023-04-25,1791539f-cec1-49ee-9d0c-f1d70d6c0980,national tyre,brake repair,760,Motor Vehicles,FIXED,ASSET,120.51,20.08,100.43,100.43,120.51,GBP,1,120.51
