contactId,contactName,sourceType,xeroId,date,status,accountCode,dominantAccountForContact,lineAmount,taxType,insidePeriod,isDominantAccount,contributesToPotentialError
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,7bba6a7d-1c4c-45b4-8843-1705a8a8a967,2025-08-13,AUTHORISED,310,310,25.99,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,8bdf7314-7f3c-4b71-a014-17d8202cfa31,2025-08-14,AUTHORISED,310,310,19.99,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,b41c9785-fcc4-4189-8bd8-b995b7bbed9a,2025-08-22,AUTHORISED,310,310,12.99,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,7efd1c76-23b1-4b37-8e94-7e19757eacda,2025-08-31,AUTHORISED,310,310,26.34,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,8139f39b-e863-4e0a-87c9-c335b5798b11,2025-09-01,AUTHORISED,310,310,63.49,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,f6171585-cb98-4b92-82c3-50cc24a1b473,2025-09-01,AUTHORISED,310,310,24.99,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,5f97dc60-1092-4675-9ce1-663993b830f8,2025-09-15,AUTHORISED,310,310,32.9,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,053f5028-b3b6-48dc-a8c7-b41872add7d1,2025-09-16,AUTHORISED,310,310,34.95,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,e07519a6-07d0-4005-9407-2136874cae8f,2025-09-16,AUTHORISED,310,310,12.98,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,cc515c06-7128-43db-8d1e-04cbea939f94,2025-09-24,AUTHORISED,310,310,35.13,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,ce682027-639e-438e-a305-c6781b5990a6,2025-09-24,AUTHORISED,310,310,49.26,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,ecff3519-0474-4702-81f0-f1b07e948e32,2025-09-24,AUTHORISED,310,310,15.99,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,d621a313-7ea8-4d15-b040-e029de0d9f18,2025-09-26,AUTHORISED,310,310,6.59,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,df4f3ec8-e39c-42e0-a002-177a1ad21778,2025-10-19,AUTHORISED,310,310,58.86,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,050702b6-2197-4970-900c-c0773e1a8bf8,2025-10-22,AUTHORISED,310,310,49.97,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,abdc2d6b-e111-4433-9018-1a3d8a3460a0,2025-10-22,AUTHORISED,310,310,35.13,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,fcf422d5-ff85-4c49-941f-98ab36811398,2025-10-24,AUTHORISED,310,310,30.99,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,6d0e4d2d-590c-43b7-bfa9-4e514c792262,2025-10-27,AUTHORISED,310,310,18.17,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,b16b578d-b22a-44c6-b968-1aac884ebcbb,2025-10-30,AUTHORISED,310,310,14,INPUT2,lookback_only,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,1b29951f-6353-4b38-bf51-b54669cd2406,2025-11-01,AUTHORISED,310,310,53.68,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,2fee9806-c6fe-4a10-b962-605489a3ed0a,2025-11-03,AUTHORISED,310,310,23.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,738afb43-fcfa-4259-80cc-541289019779,2025-11-03,AUTHORISED,310,310,29.9,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,ea32b85f-879f-43ea-9e17-7e97914e97a7,2025-11-10,AUTHORISED,310,310,6.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,546a3ecd-5ba7-4b3b-8ac9-20749f24c6f3,2025-11-20,AUTHORISED,310,310,24.95,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,9c888202-81d3-4985-892d-111828f1db18,2025-12-18,AUTHORISED,310,310,3.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,5b99caa1-2d7c-4e77-8075-481e443f43e9,2026-01-06,AUTHORISED,310,310,141.95,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,9c8a1a30-122a-4e99-a2bd-22dee69d3760,2026-01-14,AUTHORISED,310,310,22.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,ff49e165-18e6-488c-b210-963d2b6d4fca,2026-01-14,AUTHORISED,310,310,70.54,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,34ad6d8c-05e1-47e0-a626-06d391b73725,2026-01-15,AUTHORISED,310,310,29.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,aae3fe56-df92-47d0-8a96-cfb662626c7e,2026-01-15,AUTHORISED,310,310,25.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,1dc0854d-bcde-40de-9034-36c360134578,2026-01-19,AUTHORISED,310,310,33.27,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,39e3de85-8daf-4aca-aafe-2b70998449e6,2026-01-21,AUTHORISED,310,310,26.25,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,d3619827-cd11-4ef1-a516-e2a7a6c539e8,2026-01-29,AUTHORISED,310,310,11.95,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,31358938-229e-48a8-81ac-d7274552fd01,2026-02-17,AUTHORISED,310,310,23.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,0b4a1d33-7f34-4d26-ae9a-76411565a0cd,2026-02-25,AUTHORISED,310,310,33.27,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,6c8ee913-2b6d-4aff-9adc-f742ad89cb02,2026-02-25,AUTHORISED,310,310,34.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,57634d51-de73-4cb9-9aff-f64548a3fd31,2026-02-26,AUTHORISED,310,310,26.4,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,5b70cdc7-38a6-4602-b629-8125d1e725b0,2026-02-27,AUTHORISED,310,310,48.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,c8082b37-0260-4e78-ac5c-7c06f9a3356f,2026-03-03,AUTHORISED,310,310,78.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,f7b98c23-75b2-4e47-8464-7fbe4a103ea6,2026-03-19,AUTHORISED,310,310,18.9,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,e19f83d3-295e-45f2-ba32-ce1bbc2325f4,2026-04-28,AUTHORISED,310,310,34.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,SPEND bank txn,aa5f3951-1e2a-4b57-ac4a-58e3fb18b4be,2026-04-30,AUTHORISED,310,310,19.99,INPUT2,yes,yes,no
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,ACCPAY bill,35c1d466-2626-48df-9355-8945f1583a52,2026-05-28,AUTHORISED,325,310,16.65,INPUT2,yes,no,yes
f8d6eaa1-d9d7-4b17-8704-0c12929552fe,Amazon,ACCPAY bill,35c1d466-2626-48df-9355-8945f1583a52,2026-05-28,AUTHORISED,325,310,0.01,ZERORATEDINPUT,yes,no,yes
